layer,sourceId,name,countryCode,accepted,inputBbox,normalizedBbox,maxLongitudeJump,antimeridianSplitCount,postSplitMaxComponentLongitudeSpan,polarStatus,repairStatus,tileReplicationCount,rejectedReason
adm2,17698898B67359070524975,Deh Bala,AFG,True,"[70.3359578611795,33.940270001000044,70.5381825561985,34.2474383219629]","[70.3359578611795,33.940270001000044,70.5381825561985,34.2474383219629]",0.039429094,0,0.202224695,within_safe_vector_latitude,not_run+unchanged,1,
adm2,17698898B98443198567384,Gulran,AFG,True,"[61.055835,34.6480402117583,62.063767758266,35.625203963840704]","[61.055835,34.6480402117583,62.063767758266,35.625203963840704]",0.217759728,0,1.007932758,within_safe_vector_latitude,not_run+unchanged,2,
adm2,17698898B82675281335003,Koshk,AFG,True,"[61.9401656633057,34.6723183490265,62.5416161945227,35.44596713202315]","[61.9401656633057,34.6723183490265,62.5416161945227,35.44596713202315]",0.120307061,0,0.601450531,within_safe_vector_latitude,not_run+unchanged,1,
adm2,17698898B74585757664988,Chaparhar,AFG,True,"[70.2435312807433,34.1842821861654,70.4838718834987,34.3609454059858]","[70.2435312807433,34.1842821861654,70.4838718834987,34.3609454059858]",0.071346677,0,0.240340603,within_safe_vector_latitude,not_run+unchanged,4,
adm2,17698898B84066352785355,Koshki Kohna,AFG,True,"[62.416925990093,34.5979080565118,62.8680015349857,35.2787252267314]","[62.416925990093,34.5979080565118,62.8680015349857,35.2787252267314]",0.083451413,0,0.451075545,within_safe_vector_latitude,not_run+unchanged,1,
adm2,17698898B31168234973124,Pachier Agam,AFG,True,"[70.1495941147342,33.94575806870243,70.45749689587456,34.2477670826924]","[70.1495941147342,33.94575806870243,70.45749689587456,34.2477670826924]",0.068382134,0,0.307902781,within_safe_vector_latitude,not_run+unchanged,2,
adm2,17698898B88962028797570,Kohsan,AFG,True,"[60.7427002639369,34.3006644270118,61.6053052939677,34.925835973166]","[60.7427002639369,34.3006644270118,61.6053052939677,34.925835973166]",0.104799523,0,0.86260503,within_safe_vector_latitude,not_run+unchanged,2,
adm2,17698898B58246966451205,Khogayani,AFG,True,"[69.9483582725785,34.00789362479902,70.2976890554253,34.429555142445]","[69.9483582725785,34.00789362479902,70.2976890554253,34.429555142445]",0.076930353,0,0.349330783,within_safe_vector_latitude,not_run+unchanged,2,
adm2,17698898B9118080572878,Shirzad,AFG,True,"[69.8766670969336,34.03508,70.1006728043919,34.3657380290592]","[69.8766670969336,34.03508,70.1006728043919,34.3657380290592]",0.056971949,0,0.224005707,within_safe_vector_latitude,not_run+unchanged,2,
adm2,17698898B30811011988841,Ghoryan,AFG,True,"[60.51760336800004,33.7484960717372,61.7863226368857,34.8812998910851]","[60.51760336800004,33.7484960717372,61.7863226368857,34.8812998910851]",0.108101069,0,1.268719269,within_safe_vector_latitude,not_run+unchanged,2,
