layer,sourceId,name,countryCode,accepted,inputBbox,normalizedBbox,maxLongitudeJump,antimeridianSplitCount,postSplitMaxComponentLongitudeSpan,polarStatus,repairStatus,tileReplicationCount,rejectedReason
adm1,12653393B88420098597995,Sar-e Pol,AFG,True,"[65.33566813755965,34.901077886038664,67.10263038107365,36.55564376104254]","[65.33566813755965,34.901077886038664,67.10263038107365,36.55564376104254]",0.542516525,0,1.766962244,within_safe_vector_latitude,not_run+unchanged,1,
adm1,12653393B68515507308334,Jowzjan,AFG,True,"[65.14644129028268,35.91543054312446,66.55098013025726,37.48819410853144]","[65.14644129028268,35.91543054312446,66.55098013025726,37.48819410853144]",0.542516525,0,1.40453884,within_safe_vector_latitude,not_run+unchanged,1,
adm1,12653393B15327610512620,Faryab,AFG,True,"[63.87298105385757,35.193135904939716,65.62480060542008,37.2377579173618]","[63.87298105385757,35.193135904939716,65.62480060542008,37.2377579173618]",0.382215583,0,1.751819552,within_safe_vector_latitude,not_run+unchanged,1,
adm1,12653393B49464330763444,Badghis,AFG,True,"[62.633495678480976,34.503758270791955,65.03402595022379,36.00636724176161]","[62.633495678480976,34.503758270791955,65.03402595022379,36.00636724176161]",0.589154533,0,2.400530272,within_safe_vector_latitude,not_run+unchanged,1,
adm1,12653393B10656178064549,Ghor,AFG,True,"[63.06911190015796,33.18733657810146,66.73503377707213,35.27744990759033]","[63.06911190015796,33.18733657810146,66.73503377707213,35.27744990759033]",0.697149325,0,3.665921877,within_safe_vector_latitude,not_run+unchanged,1,
adm1,12653393B41529784753429,Herat,AFG,True,"[60.51760336800004,32.79739152724035,64.44938281244143,35.58993618160855]","[60.51760336800004,32.79739152724035,64.44938281244143,35.58993618160855]",0.697149325,0,3.931779444,within_safe_vector_latitude,not_run+unchanged,1,
adm1,12653393B38600812522696,Farah,AFG,True,"[60.583154,31.386011528807835,64.66111647251128,33.546805298526564]","[60.583154,31.386011528807835,64.66111647251128,33.546805298526564]",0.833570152,0,4.077962473,within_safe_vector_latitude,not_run+unchanged,2,
adm1,12653393B2934199951965,Nimruz,AFG,True,"[60.882577039432974,29.388695,63.51022241634917,32.246273369386145]","[60.882577039432974,29.388695,63.51022241634917,32.246273369386145]",0.833570152,0,2.627645377,within_safe_vector_latitude,not_run+unchanged,2,
adm1,12653393B44617690613931,Helmand,AFG,True,"[62.55062777256604,29.400753975809916,65.33010585022905,33.363527595196565]","[62.55062777256604,29.400753975809916,65.33010585022905,33.363527595196565]",0.623794086,0,2.779478078,within_safe_vector_latitude,not_run+unchanged,2,
adm1,12653393B46637216309148,Badakhshan,AFG,True,"[69.99543102923245,35.497646518123204,74.7436288609614,38.4800829348479]","[69.99543102923245,35.497646518123204,74.7436288609614,38.4800829348479]",1.079223601,0,4.748197832,within_safe_vector_latitude,not_run+unchanged,1,
adm1,14339913B6930312138089,Northern Ireland,GBR,True,"[-8.151423999817666,54.03647200900008,-5.438172000237557,55.2510320002267]","[-8.151423999817666,54.03647200900008,-5.438172000237557,55.2510320002267]",0.365908507,0,2.713252,within_safe_vector_latitude,not_run+unchanged,1,
adm1,14339913B95766344400054,England,GBR,True,"[-5.71004600032262,49.98333200027167,1.754925999835052,55.81099608060979]","[-5.71004600032262,49.98333200027167,1.754925999835052,55.81099608060979]",0.369909964,0,7.464972,within_safe_vector_latitude,not_run+unchanged,4,
adm1,14339913B23556801435424,Scotland,GBR,True,"[-7.435038892491259,54.70761800017061,-0.992470999636851,60.657768999739574]","[-7.435038892491259,54.70761800017061,-0.992470999636851,60.657768999739574]",0.569939801,0,4.384205999,within_safe_vector_latitude,not_run+unchanged,2,
adm1,14339913B89763821047858,Wales,GBR,True,"[-5.292477000313283,51.38232599964522,-2.666091000099527,53.4138440003004]","[-5.292477000313283,51.38232599964522,-2.666091000099527,53.4138440003004]",0.398605006,0,2.626386,within_safe_vector_latitude,not_run+unchanged,1,
adm1,10019604B1094996199402,Berat,ALB,True,"[19.737452645000076,40.37740006400003,20.465731936000054,40.87425076200003]","[19.737452645000076,40.37740006400003,20.465731936000054,40.87425076200003]",0.347423293,0,0.728279291,within_safe_vector_latitude,not_run+unchanged,1,
adm1,10019604B38416360860341,Dibër,ALB,True,"[19.818117018000066,41.33670900100003,20.561153,41.88930189000007]","[19.818117018000066,41.33670900100003,20.561153,41.88930189000007]",0.194381312,0,0.743035982,within_safe_vector_latitude,not_run+unchanged,1,
adm1,10019604B56812167051250,Durrës,ALB,True,"[19.417833330000065,41.273064083000065,19.904852902000073,41.58223273167212]","[19.417833330000065,41.273064083000065,19.904852902000073,41.58223273167212]",0.259108081,0,0.487019572,within_safe_vector_latitude,not_run+unchanged,1,
adm1,10019604B8832247678249,Elbasan,ALB,True,"[19.67797661000003,40.708633863000045,20.594328605000044,41.40283232400003]","[19.67797661000003,40.708633863000045,20.594328605000044,41.40283232400003]",0.380979093,0,0.916351995,within_safe_vector_latitude,not_run+unchanged,2,
adm1,10019604B18588012879070,Fier,ALB,True,"[19.30876871400445,40.42027738300004,19.928602013000045,41.068863029000056]","[19.30876871400445,40.42027738300004,19.928602013000045,41.068863029000056]",0.191149368,0,0.619833299,within_safe_vector_latitude,not_run+unchanged,2,
adm1,10019604B29738820438867,Gjirokastër,ALB,True,"[19.745136959000035,39.81068260775244,20.625297508424417,40.53482812400006]","[19.745136959000035,39.81068260775244,20.625297508424417,40.53482812400006]",0.347423293,0,0.880160549,within_safe_vector_latitude,not_run+unchanged,1,
adm1,10019604B11091570243697,Korçë,ALB,True,"[20.30764307800007,40.08929100100005,21.153050493635583,41.09353784700005]","[20.30764307800007,40.08929100100005,21.153050493635583,41.09353784700005]",0.166056846,0,0.845407416,within_safe_vector_latitude,not_run+unchanged,2,
adm1,10019604B40645538692706,Kukës,ALB,True,"[19.82637358100004,41.81805455600005,20.620953822273226,42.55737471400005]","[19.82637358100004,41.81805455600005,20.620953822273226,42.55737471400005]",0.213171257,0,0.794580241,within_safe_vector_latitude,not_run+unchanged,1,
adm1,10019604B99204019868502,Lezhë,ALB,True,"[19.53485224899294,41.56817260400004,20.259024430000068,42.00179685200004]","[19.53485224899294,41.56817260400004,20.259024430000068,42.00179685200004]",0.308818353,0,0.724172181,within_safe_vector_latitude,not_run+unchanged,1,
adm1,10019604B9428140626415,Shkodër,ALB,True,"[19.2839987,41.835010751347646,20.237530321000065,42.661166939000054]","[19.2839987,41.835010751347646,20.237530321000065,42.661166939000054]",0.308818353,0,0.953531621,within_safe_vector_latitude,not_run+unchanged,1,
adm1,10019604B30424798991477,Tiranë,ALB,True,"[19.44602720123232,40.99894220373475,20.223852513000054,41.50621840000008]","[19.44602720123232,40.99894220373475,20.223852513000054,41.50621840000008]",0.380979093,0,0.777825312,within_safe_vector_latitude,not_run+unchanged,1,
adm1,10019604B59649873769490,Vlorë,ALB,True,"[19.29493529430603,39.644481996000025,20.322116036000068,40.652275583061936]","[19.29493529430603,39.644481996000025,20.322116036000068,40.652275583061936]",0.187001241,0,1.027180742,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B97480278452280,Tiaret,DZA,True,"[0.486753,34.073319,2.670846,35.711357]","[0.486753,34.073319,2.670846,35.711357]",0.103572,0,2.184093,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B70824426814000,Ouargla,DZA,True,"[2.996532,28.498373,9.470779723075324,33.9586677]","[2.996532,28.498373,9.470779723075324,33.9586677]",0.566821,0,6.474247723,within_safe_vector_latitude,not_run+unchanged,2,
adm1,43142294B16317854663637,Saïda,DZA,True,"[-0.347956,34.319696,0.933411,35.1670632]","[-0.347956,34.319696,0.933411,35.1670632]",0.102065,0,1.281367,within_safe_vector_latitude,not_run+unchanged,2,
adm1,43142294B13998567259459,Aïn Defla,DZA,True,"[1.5269042,35.860953,2.6261245,36.4567827]","[1.5269042,35.860953,2.6261245,36.4567827]",0.033541,0,1.0992203,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B43473078766346,Adrar,DZA,True,"[-5.667407232790549,20.028382,2.495601,31.659608]","[-5.667407232790549,20.028382,2.495601,31.659608]",0.3477561,0,8.163008233,within_safe_vector_latitude,not_run+unchanged,4,
adm1,43142294B30165394777555,Aïn Témouchent,DZA,True,"[-1.5878013,35.08999,-0.582419,35.63880780820682]","[-1.5878013,35.08999,-0.582419,35.63880780820682]",0.047117,0,1.0053823,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B57632161166824,Béchar,DZA,True,"[-5.499998,27.300564,0.383871,32.41795]","[-5.499998,27.300564,0.383871,32.41795]",0.216089,0,5.883869,within_safe_vector_latitude,not_run+unchanged,4,
adm1,43142294B80473805298321,Biskra,DZA,True,"[4.1312537,33.355255,6.772515,35.2856456]","[4.1312537,33.355255,6.772515,35.2856456]",0.121317,0,2.6412613,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B61154116750870,Bordj Bou Arreridj‎,DZA,True,"[4.066546,35.7622582,5.1940646,36.4301905]","[4.066546,35.7622582,5.1940646,36.4301905]",0.027572,0,1.1275186,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B40291105422873,Chlef,DZA,True,"[0.690843,35.851367,1.720334,36.55522052832405]","[0.690843,35.851367,1.720334,36.55522052832405]",0.023189,0,1.029491,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B54486011126442,Constantine,DZA,True,"[6.309767,36.092683,7.049118,36.624204]","[6.309767,36.092683,7.049118,36.624204]",0.021337,0,0.739351,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B15861145285183,El Tarf,DZA,True,"[7.666021,36.391082,8.6811291,36.9519587]","[7.666021,36.391082,8.6811291,36.9519587]",0.026439309,0,1.0151081,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B83676700490594,Ghardaia,DZA,True,"[1.903011,28.89785,5.025157,33.071012]","[1.903011,28.89785,5.025157,33.071012]",0.282323,0,3.122146,within_safe_vector_latitude,not_run+unchanged,2,
adm1,43142294B80449327613638,Tindouf,DZA,True,"[-8.668909,25.51381858111446,-2.980245,29.614681]","[-8.668909,25.51381858111446,-2.980245,29.614681]",0.1616856,0,5.688664,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B45005324618688,Skikda,DZA,True,"[6.239375353000071,36.419475,7.405151,37.0896792]","[6.239375353000071,36.419475,7.405151,37.0896792]",0.03488,0,1.165775647,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B44506325294932,Tipaza,DZA,True,"[1.6423576,36.3558653,2.832811,36.6986945]","[1.6423576,36.3558653,2.832811,36.6986945]",0.033541,0,1.1904534,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B82645808466854,Tissemsilt,DZA,True,"[1.257126,35.53633,2.314422,36.03547]","[1.257126,35.53633,2.314422,36.03547]",0.046276,0,1.057296,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B64913925424016,Tlemcen,DZA,True,"[-2.218498,34.096781362571654,-0.767631,35.2381746]","[-2.218498,34.096781362571654,-0.767631,35.2381746]",0.039071,0,1.450867,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B43001903647784,Sidi Bel Abbès,DZA,True,"[-1.125253,33.908456,0.040749,35.456157]","[-1.125253,33.908456,0.040749,35.456157]",0.078257,0,1.166002,within_safe_vector_latitude,not_run+unchanged,2,
adm1,43142294B67344016857851,Sétif,DZA,True,"[4.7296445,35.6151215,6.026243,36.595602]","[4.7296445,35.6151215,6.026243,36.595602]",0.0458252,0,1.2965985,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B36860814815957,Relizane,DZA,True,"[0.227202,35.445208,1.427721,36.228027]","[0.227202,35.445208,1.427721,36.228027]",0.030958,0,1.200519,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B35959348509380,Oum El Bouaghi,DZA,True,"[6.15411,35.422473,7.867395,36.198164]","[6.15411,35.422473,7.867395,36.198164]",0.070206,0,1.713285,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B58874984978475,Naâma,DZA,True,"[-1.7324754,32.145526,0.157292,34.325875]","[-1.7324754,32.145526,0.157292,34.325875]",0.162233,0,1.8897674,within_safe_vector_latitude,not_run+unchanged,2,
adm1,43142294B85855835528530,M'Sila,DZA,True,"[3.369487,34.216712,5.33783,36.042595]","[3.369487,34.216712,5.33783,36.042595]",0.084446,0,1.968343,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B52445945964546,Mila,DZA,True,"[5.7361265,35.876227,6.545281,36.624197]","[5.7361265,35.876227,6.545281,36.624197]",0.058793,0,0.8091545,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B64493603110073,Illizi,DZA,True,"[5.638444,22.506576508761597,11.993516519836433,30.558553532967498]","[5.638444,22.506576508761597,11.993516519836433,30.558553532967498]",0.44959138,0,6.35507252,within_safe_vector_latitude,not_run+unchanged,2,
adm1,43142294B94550777300099,Guelma,DZA,True,"[6.939499,36.0244092,7.959225,36.672902]","[6.939499,36.0244092,7.959225,36.672902]",0.041953,0,1.019726,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B74351585751074,Djelfa,DZA,True,"[2.012668,32.852914,5.078817,35.832375]","[2.012668,32.852914,5.078817,35.832375]",0.195211,0,3.066149,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B6851000275455,El Oued,DZA,True,"[5.182719,32.001433,9.065308,34.511089]","[5.182719,32.001433,9.065308,34.511089]",0.566821,0,3.882589,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B89976296243107,Batna,DZA,True,"[4.741007,34.753621,6.7927636,35.922747]","[4.741007,34.753621,6.7927636,35.922747]",0.058793,0,2.0517566,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B57836115778835,Algiers,DZA,True,"[2.7998673,36.5794268,3.382583,36.819708151210534]","[2.7998673,36.5794268,3.382583,36.819708151210534]",0.0296802,0,0.5827157,within_safe_vector_latitude,not_run+unchanged,1,
